"","term","estimate","std.error","statistic","conf.low","conf.high"
"1","(Intercept)",6533.56822575836,261.636883258575,24.9917085173876,6020.76935754424,7046.36709397248
"2","d1_recurrence_exponential_mean_s",128.821031730162,17.4469905179064,7.38427134073603,94.6255586764536,163.01650478387
"3","d2_new_head_mean_s",72.7980635518833,10.7787289949675,6.74952903802947,51.6721429226293,93.9239841811373
"4","d3_transition_mean_s",-154.986617323945,15.5014246904006,-9.99947050569251,-185.36885142619,-124.6043832217
"5","d_lexical_1gram_mean_s",98.7367540022769,14.1400679230222,6.98291331273688,71.0227301342034,126.45077787035
"6","d_semantic_cosine_mean_s",-70.1111930294393,13.0527172719488,-5.37222106606099,-95.6940487828428,-44.5283372760358
"7","d_syntactic_1gram_mean_s",-99.9894090056861,13.163312232478,-7.59421342731207,-125.789026898598,-74.1897911127736
"8","sentence_length_char_s",2989.13289207753,33.1421403038754,90.2069565848349,2924.17549071136,3054.0902934437
"9","sum_surprisal_s",922.826098801412,31.9110409039482,28.9228278480961,860.281607920489,985.370589682335
