"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",0.524066126415907,0.0698686262514954,7.52579257305516,1.12794258941295e-12,0.387126135313687,0.661006117518128
"2","d1_recurrence_exponential_mean_s",0.131227409897547,0.0621696861187838,2.1177030999791,0.0526047135159113,0.00937706417457065,0.253077755620523
"3","d2_new_head_mean_s",0.107300908310205,0.0224163199757794,4.78953961711242,8.39588334296257e-05,0.0633657284917515,0.151236088128658
"4","d3_transition_mean_s",-0.241900093475435,0.0715813433636003,-3.3898191676497,0.0025283590940993,-0.382196948433087,-0.101603238517783
"5","d_semantic_cosine_mean_s",-0.152933310640044,0.0382801909555463,-4.00019188749702,0.000116728123761339,-0.22796110623423,-0.0779055150458569
"6","d_syntactic_1gram_mean_s",0.161142363725271,0.0391241301933775,4.11400939239755,0.0001231835600173,0.0844604776197948,0.237824249830747
"7","mean_surprisal_s",-0.234280066889261,0.0236666280720952,-9.90711746352815,1.36481268576149e-17,-0.280665805546072,-0.18789432823245
