"","fold","ll0","ll1","delta_ll","rmse0","rmse1","delta_rmse","r2m_m0","r2c_m0","r2m_m1","r2c_m1","delta_r2m","delta_r2c"
"1",1,0.950468687435995,0.91264261670712,-0.0378260707288752,0.290218350340576,0.290883702345221,0.000665352004644792,0.0426598140598494,0.647378177594557,0.0858033218491347,0.668481641117742,0.0431435077892852,0.0211034635231846
"2",2,3.72289715254298,3.73076824052196,0.00787108797897895,0.281330922334892,0.280074352083722,-0.00125657025116954,0.0340498067859403,0.69314424538004,0.068543342528594,0.710863410902808,0.0344935357426537,0.0177191655227671
"3",3,3.44905672666519,3.45675373971951,0.00769701305432413,0.263830437206821,0.263046341424288,-0.000784095782532579,0.0362041465600647,0.683217897122105,0.0743196799123849,0.704853409322433,0.0381155333523202,0.0216355122003282
"4",4,3.11038697635181,3.229544775915,0.11915779956319,0.273952668933545,0.270725794747421,-0.00322687418612372,0.025570044362953,0.704081861236856,0.0510233990987024,0.716480973618809,0.0254533547357495,0.0123991123819528
"5",5,1.70447033431394,1.67852508317542,-0.0259452511385201,0.273862315068765,0.274980519095267,0.00111820402650198,0.0425774100407284,0.651879508314934,0.0876388553106724,0.675238414177216,0.045061445269944,0.0233589058622817
